,metier_onisep,lien_onisep,code_onisep,intitule_site_onisep,intitule_XML,code_ROME (Impala),code_ROME_1,intitule_ROME_1,code_ROME_2,intitule_ROME_2,code_ROME_3,intitule_ROME_3,code_ROME_4,intitule_ROME_4,code_ROME_5,intitule_ROME_5,code_ROME (Impala)
0,technicien/ne de fabrication de mobilier et de menuiserie,http://www.onisep.fr/http/redirection/metier/identifiant/10002,10002,technicien / technicienne de fabrication de mobilier et de menuiserie,technicien/ne de fabrication de mobilier et de menuiserie,H2202,H2209,Intervention technique en ameublement et bois,H2204,Encadrement des industries de l'ameublement et du bois,,,,,,,H2202
1,agenceur/euse de cuisines et salles de bains,http://www.onisep.fr/http/redirection/metier/identifiant/10003,10003,agenceur / agenceuse de cuisines et salles de bains,agenceur/euse de cuisines et salles de bains,H2206,F1604,Montage d'agencements,H2206,Réalisation de menuiserie bois et tonnellerie,,,,,,,H2206
2,chef/fe de fabrication des industries graphiques,http://www.onisep.fr/http/redirection/metier/identifiant/10005,10005,chef / cheffe de fabrication des industries graphiques,chef/fe de fabrication des industries graphiques,,E1303,Encadrement des industries graphiques,,,,,,,,,
3,conducteur/trice de machines à imprimer ,http://www.onisep.fr/http/redirection/metier/identifiant/10007,10007,conducteur / conductrice de machines à imprimer,conducteur/trice de machines à imprimer ,,E1301,Conduite de machines d'impression,,,,,,,,,
4,opérateur/trice prépresse,http://www.onisep.fr/http/redirection/metier/identifiant/10008,10008,opérateur / opératrice prépresse,opérateur/trice prépresse,E1306,E1306,Prépresse,,,,,,,,,E1306
5,sérigraphe,http://www.onisep.fr/http/redirection/metier/identifiant/10009,10009,sérigraphe,sérigraphe,E1301,E1301,Conduite de machines d'impression,,,,,,,,,E1301
6,conducteur/trice de travaux,http://www.onisep.fr/http/redirection/metier/identifiant/10011,10011,conducteur / conductrice de travaux,conducteur/trice de travaux,,F1201,Conduite de travaux du BTP,,,,,,,,,
7,architecte,http://www.onisep.fr/http/redirection/metier/identifiant/10012,10012,architecte,architecte,F1101,F1101,Architecture du BTP,,,,,,,,,F1101
8,urbaniste,http://www.onisep.fr/http/redirection/metier/identifiant/10013,10013,urbaniste,urbaniste,K1802,K1802,Développement local,,,,,,,,,K1802
9,géomètre-topographe,http://www.onisep.fr/http/redirection/metier/identifiant/10014,10014,géomètre-topographe,géomètre-topographe,F1107,F1108,Métré de la construction,,,,,,,,,F1107
10,économiste de la construction,http://www.onisep.fr/http/redirection/metier/identifiant/10015,10015,économiste de la construction,économiste de la construction,F1108,F1108,Métré de la construction,,,,,,,,,F1108
11,conducteur/trice d'engins de travaux publics,http://www.onisep.fr/http/redirection/metier/identifiant/10016,10016,conducteur / conductrice d'engins de travaux publics,conducteur/trice d'engins de travaux publics,,F1302,Conduite d'engins de terrassement et de carrière,,,,,,,,,
12,maçon/ne,http://www.onisep.fr/http/redirection/metier/identifiant/10018,10018,maçon / maçonne,maçon/ne,F1703,F1611,Réalisation et restauration de façades,F1701,Construction en béton,F1703,Maçonnerie,,,,,F1703
13,coffreur/euse-boiseur/euse,http://www.onisep.fr/http/redirection/metier/identifiant/10019,10019,coffreur-boiseur / coffreuse-boiseuse,coffreur/euse-boiseur/euse,,F1701,Construction en béton,F1703,Maçonnerie,,,,,,,
14,charpentier/ère bois,http://www.onisep.fr/http/redirection/metier/identifiant/10020,10020,charpentier / charpentière bois,charpentier/ère bois,,F1501,Montage de structures et de charpentes bois,,,,,,,,,
15,tailleur/euse de pierre,http://www.onisep.fr/http/redirection/metier/identifiant/10021,10021,tailleur / tailleuse de pierre,tailleur/euse de pierre,F1612,F1612,Taille et décoration de pierres,,,,,,,,,F1612
16,couvreur/euse,http://www.onisep.fr/http/redirection/metier/identifiant/10022,10022,couvreur / couvreuse,couvreur/euse,,F1610,Pose et restauration de couvertures,,,,,,,,,
17,monteur/euse en installations thermiques et climatiques,http://www.onisep.fr/http/redirection/metier/identifiant/10023,10023,monteur / monteuse en installations thermiques et climatiques,monteur/euse en installations thermiques et climatiques,I1306,F1603,Installation d'équipements sanitaires et thermiques,,,,,,,,,I1306
18,conseiller/ère agricole,http://www.onisep.fr/http/redirection/metier/identifiant/10024,10024,conseiller / conseillère agricole,conseiller/ère agricole,,A1301,Conseil et assistance technique en agriculture,,,,,,,,,
19,technicien/ne de maintenance en génie climatique,http://www.onisep.fr/http/redirection/metier/identifiant/10025,10025,technicien / technicienne de maintenance en génie climatique,technicien/ne de maintenance en génie climatique,I1306,I1308,Maintenance d'installation de chauffage,I1306,"Installation et maintenance en froid, conditionnement d'air",,,,,,,I1306
20,plombier/ère,http://www.onisep.fr/http/redirection/metier/identifiant/10027,10027,plombier / plombière,plombier/ère,F1603,F1603,Installation d'équipements sanitaires et thermiques,,,,,,,,,F1603
21,menuisier/ère,http://www.onisep.fr/http/redirection/metier/identifiant/10029,10029,menuisier / menuisière,menuisier/ère,H2206,F1607,Pose de fermetures menuisées,H2202,Conduite d'équipement de fabrication de l'ameublement et du bois,H2206,Réalisation de menuiserie bois et tonnellerie,F1608,Pose de revêtements rigides,,,H2206
22,serrurier/ère-métallier/ère,http://www.onisep.fr/http/redirection/metier/identifiant/10030,10030,serrurier-métallier / serrurière-métallière,serrurier/ère-métallier/ère,F1607,F1607,Pose de fermetures menuisées,H2911,Réalisation de structures métalliques,H2902,Chaudronnerie - tôlerie,,,,,F1607
23,plâtrier/ère,http://www.onisep.fr/http/redirection/metier/identifiant/10031,10031,plâtrier / plâtrière,plâtrier/ère,F1601,F1601,"Application et décoration en plâtre, stuc et staff",,,,,,,,,F1601
24,carreleur/euse-mosaïste,http://www.onisep.fr/http/redirection/metier/identifiant/10032,10032,carreleur / carreleuse-mosaïste,carreleur/euse-mosaïste,F1608,F1608,Pose de revêtements rigides,,,,,,,,,F1608
25,solier/ère-moquettiste,http://www.onisep.fr/http/redirection/metier/identifiant/10033,10033,solier-moquettiste / solière-moquettiste,solier/ère-moquettiste,F1609,F1609,Pose de revêtements souples,,,,,,,,,F1609
26,peintre en bâtiment,http://www.onisep.fr/http/redirection/metier/identifiant/10034,10034,peintre en bâtiment,peintre en bâtiment,F1606,F1606,Peinture en bâtiment,,,,,,,,,F1606
27,chargé/e d'études économiques,http://www.onisep.fr/http/redirection/metier/identifiant/10036,10036,chargé / chargée d'études économiques,chargé/e d'études économiques,M1403,,,,,,,,,,,M1403
28,contrôleur/euse de gestion,http://www.onisep.fr/http/redirection/metier/identifiant/10040,10040,contrôleur / contrôleuse de gestion,contrôleur/euse de gestion,,,,,,,,,,,,
29,expert/e-comptable,http://www.onisep.fr/http/redirection/metier/identifiant/10041,10041,expert-comptable / experte-comptable,expert/e-comptable,M1202,M1202,Audit et contrôle comptables et financiers,,,,,,,,,M1202
30,comptable,http://www.onisep.fr/http/redirection/metier/identifiant/10042,10042,comptable,comptable,,,,,,,,,,,,
31,secrétaire,http://www.onisep.fr/http/redirection/metier/identifiant/10045,10045,secrétaire,secrétaire,M1607,M1607,Secrétariat,,,,,,,,,M1607
32,responsable des ressources humaines,http://www.onisep.fr/http/redirection/metier/identifiant/10047,10047,responsable des ressources humaines,responsable des ressources humaines,M1503,,,,,,,,,,,M1503
33,responsable du recrutement,http://www.onisep.fr/http/redirection/metier/identifiant/10048,10048,responsable du recrutement,responsable du recrutement,M1502,,,,,,,,,,,M1502
34,développeur/euse informatique,http://www.onisep.fr/http/redirection/metier/identifiant/10053,10053,développeur / développeuse informatique,développeur/euse informatique,M1805,M1805,Études et développement informatique,,,,,,,,,M1805
35,ingénieur/e système,http://www.onisep.fr/http/redirection/metier/identifiant/10055,10055,ingénieur / ingénieure système,ingénieur/e système,M1802,M1805,Études et développement informatique,M1802,Expertise et support en systèmes d'information,,,,,,,M1802
36,administrateur/trice de base de données,http://www.onisep.fr/http/redirection/metier/identifiant/10056,10056,administrateur / administratrice de base de données,administrateur/trice de base de données,M1801,M1801,Administration de systèmes d'information,,,,,,,,,M1801
37,technicien/ne de maintenance en informatique,http://www.onisep.fr/http/redirection/metier/identifiant/10057,10057,technicien / technicienne de maintenance en informatique,technicien/ne de maintenance en informatique,I1404,I1401,Maintenance informatique et bureautique,,,,,,,,,I1404
38,responsable micro,http://www.onisep.fr/http/redirection/metier/identifiant/10060,10060,gestionnaire de parc micro-informatique,responsable micro,I1401,M1810,Production et exploitation de systèmes d'information,,,,,,,,,I1401
39,chef/fe de produit marketing,http://www.onisep.fr/http/redirection/metier/identifiant/10061,10061,chef / cheffe de produit marketing,chef/fe de produit marketing,,,,,,,,,,,,
40,chargé/e d'études en marketing,http://www.onisep.fr/http/redirection/metier/identifiant/10062,10062,chargé / chargée d'études en marketing,chargé/e d'études en marketing,M1403,M1403,Études et prospectives socio-économiques,,,,,,,,,M1403
41,responsable de la promotion des ventes,http://www.onisep.fr/http/redirection/metier/identifiant/10063,10063,responsable de la promotion des ventes,responsable de la promotion des ventes,M1706,,,,,,,,,,,M1706
42,marchandiseur/euse,http://www.onisep.fr/http/redirection/metier/identifiant/10064,10064,marchandiseur / marchandiseuse,marchandiseur/euse,D1506,,,,,,,,,,,D1506
43,chef/fe des ventes,http://www.onisep.fr/http/redirection/metier/identifiant/10065,10065,chef / cheffe des ventes,chef/fe des ventes,,,,,,,,,,,,
44,ingénieur/e technico-commercial/e,http://www.onisep.fr/http/redirection/metier/identifiant/10066,10066,ingénieur technico-commercial / ingénieure technico-commerciale,ingénieur/e technico-commercial/e,D1407,,,,,,,,,,,D1407
