id,label,description_short,description_long,salary,study_time,dimensions_list,tags_list,certificates_list
717,zoologiste,"Sur le terrain ou dans son laboratoire, le zoologiste étudie les animaux et leur mode de vie. Face à l'immense diversité des espèces, il s'intéresse à une catégorie d'animaux en particulier, ou se spécialise dans une discipline.","<h1> zoologiste </h1> <h2> Nature du travail </h2> <h3> Activité de chercheur </h3>  <p> Généralement, le zoologiste est spécialiste d'une famille d'animaux (oiseaux, reptiles, insectesé) ou d'une discipline (biologie de la reproduction, migrations, communicationé). Ses recherches peuvent aussi être effectuées sur des animaux en captivité.En tant que chercheur, il participe à des conférences, publie des rapports et des articles dans des revues spécialisées. Souvent, il enseigne également les sciences naturelles et la biologie à l'université. Il peut aussi devenir directeur ou conservateur d'un musée consacré à des espèces animales. </p>  <h3> Observation sur le terrain </h3>  <p> Le zoologiste se rend sur le terrain : une forêt vosgienne, la savane africaine ou les fonds marins australiens. Armé d'une caméra, d'un appareil photo ou d'un carnet, il étudie une ou plusieurs espèces. C'est grâce à ses clichés, ses films, ses prélèvements et ses notes que les connaissances sur le comportement animal progressent. </p>  <h3> Travail en laboratoire </h3>  <p> De retour dans son laboratoire, le zoologiste analyse les relevés, les observations ou les échantillons prélevés sur le terrain. Ce travail lui permet d'étudier les relations entre le mode de vie des espèces, l'évolution de leur milieu et le fonctionnement de leur organisme. </p>  <h2> Compétences requises </h2> <h3> Une bonne dose de patience </h3>  <p> La patience et un sens aigu de l'observation arrivent en tête des qualités requises. Dans ce métier, il faut se préparer à attendre de longues heures durant, avant de prendre la bonne photo, de saisir sur le vif un comportement ou une habitude chez l'espèce étudiée. </p>  <h3> De la pédagogie </h3>  <p> Ce professionnel doit posséder le goût du travail en équipe. Pédagogie et talent pour la médiation scientifique sont également requis, car de nombreux chercheurs sont amenés à rendre compte de leurs recherches auprès du grand public, ou à participer à la formation des étudiants et doctorants. Enfin, il doit être capable d'administrer et de gérer ses projets de recherche. </p>  <h3> Rigueur et esprit d'analyse </h3>  <p> Comme tout chercheur, le zoologiste doit faire preuve d'une grande rigueur dans le traitement des données, d'un excellent esprit d'analyse et de synthèse, et d'aptitudes à la rédaction pour ses rapports et ses articles. La plupart des articles scientifiques étant rédigés en anglais, la pratique de cette langue se révèle indispensable. </p>",2200,23,,"888,1013,1064,1212,1235,1526,1996,2257,2920,2983,3458,4472,4954,5122,5125,5205,5602,6964,8215,9194,13788,34537,59711,59724,59726,59738,59739,60737,60748,60750,60776,60791,60802,60846,60861,60865,60869,60879,60886,60892,60895,60897,60907,60912,60990,61013",
716,webmestre,"À la fois technicien, graphiste et rédacteur, le webmestre est responsable de la vie d'un site, du développement à l'animation, en passant par la mise en ligne et la veille technologique. Un métier à géométrie variable nécessitant d'avoir plusieurs cordes à son arc."," <h1> webmestre </h1> <h2> Nature du travail </h2> <h3> Un rôle d'interface </h3>  <p> En tant que responsable du site Internet et/ou intranet, il joue un rôle d'interface. Il s'assure que les rédacteurs respectent la charte éditoriale et peut leur proposer certaines corrections en vue d'optimiser le référencement. Il est en contact avec les développeurs et les webdesigners pour faire évoluer le site... </p>  <h3> Alimenter un site </h3>  <p> Pour attirer les visiteurs, le webmestre ajoute du contenu (textes, sons, images, vidéos...) et réalise des mises à jour quotidiennement. Il peut aussi améliorer le référencement (positionnement du site dans les résultats des moteurs de recherche). En cas de problème grave, il peut solliciter les développeurs, ou restaurer le site à partir des sauvegardes qu'il effectue régulièrement. Il assure aussi la veille technologique vis-à-vis des sites concurrents. </p>  <h3> Avant la mise en ligne </h3>  <p> L'activité du webmestre dépend de l'entreprise pour laquelle il travaille. Il peut intervenir dès la conception du site Internet : il l'alimente alors en contenus (publication d'articles, création de fiches produit...) et vérifie sa compatibilité avec les principaux navigateurs. Il signale les problèmes techniques rencontrés et traque les bugs d'affichage. Lorsque tous les problèmes sont résolus, le site peut être mis en ligne. </p>  <h2> Compétences requises </h2> <h3> Informaticien, mais pas seulement </h3>  <p> Le webmestre est un informaticien doté de solides compétences en graphisme et en rédaction, et qui connaît parfaitement la culture et la stratégie de son entreprise. Il possède un bon niveau d'anglais et des compétences techniques. Il maîtrise les langages de programmation du Web (XML, Java, Flash, HTML...) et s'informe régulièrement de l'évolution des outils d'Internet. Créatif, rigoureux, autonome, il sait aussi se montrer polyvalent. </p>  <h3> Disponible et efficace </h3>  <p> Pour respecter les délais et réagir au plus près de l'actualité, ses horaires sont étendus, parfois décalés. En cas d'imprévu, il doit se montrer disponible et efficace... très rapidement ! </p>  <h3> Le goût du contact </h3>  <p> Le webmestre sait animer une équipe et communiquer. D'abord en interne, puisqu'il centralise des informations issues de différents services. Mais aussi à l'extérieur, puisqu'il s'enquiert, en permanence, des réactions des internautes qui visitent le site pour l'ajuster au mieux. </p> ",2000,16,,"1907,2000,2281,2580,2614,2617,2627,2633,2634,2650,2684,2692,2927,60771,60787,60812,60813,60814,60819,60858,60871,60872,60874,60887,60888,60919,61010,61011,61012,61017,61018,61059","10177,11715,11718,10055,10698,11723,11724,11725,11726,12445,12446,12447,12448,12449,12450,10729,10741,10742,10617,10618"
715,web-ergonome,"La tâche de cet ergonome "" dernier clic "" consiste à faire du site web un espace agréable et clair pour tout navigateur, expert ou novice. Il doit savoir attirer l'oeil de l'internaute et faciliter sa recherche Internet. Un vrai architecte d'interface !"," <h1> web-ergonome </h1> <h2> Nature du travail </h2> <h3> Anticiper le comportement des internautes </h3>  <p> Chargé d'améliorer l'interface d'un site Internet et de garantir son accès à tous, le web-ergonome en optimise la rentabilité. Sa mission : cerner les attentes (réelles ou supposées) des utilisateurs. Pour cela, il mène des études détaillées sur les comportements des internautes. Il les interroge, analyse leur navigation, teste de nouvelles approches... Conscient qu'il ne peut pas se mettre à la place de tous les utilisateurs, le web-ergonome s'efforce, néanmoins, de réfléchir comme eux : c'est la psychologie cognitive. Mais il ne se contente pas d'imaginer le comportement des internautes ! Il s'appuie sur des méthodes et des outils (enregistrement et analyse des consultations d'usagers...). </p>  <h3> Favoriser l'accessibilité des sites  </h3>  <p> Pour obtenir une visibilité parfaite, le web-ergonome doit respecter des standards précis (par exemple, ne pas dépasser 3 clics pour accéder à une information car lire sur Internet est moins facile que sur papier) tout en touchant un large public. Pour les consommateurs "" classiques "", tout est fait pour qu'ils s'attardent sur le site. Pour les déficients visuels, une légende ou un texte sont prévus. Pour les daltoniens, les couleurs sont adaptées. Le site doit aussi pouvoir passer facilement d'une interface d'application mobile à celle d'un site web classique. </p>  <h2> Compétences requises </h2> <h3> Sa langue, c'est le Net </h3>  <p> Entre infographie et marketing, ce métier demande une grande polyvalence, tant il est essentiel pour la bonne marche du site Internet, de sa création à son développement. Et, si le web-ergonome n'est ni un technicien ni un informaticien, il est fin connaisseur du vocabulaire Internet et des outils de développement. </p>  <h3> Psychologue et à l'affût des tendances </h3>  <p> Au-delà de l'aspect technique, le web-ergonome fait preuve de sens psychologique pour comprendre et détecter les habitudes, préférences et difficultés de l'utilisateur web. Une grande capacité d'analyse et de solides connaissances techniques sur le navigateur Internet et les comportements des utilisateurs (science cognitive et connaissance du langage HTML) sont donc indispensables. </p> ",2000,18,,"824,958,1907,2122,2280,2281,2415,2580,2614,2617,2627,2927,60787,60819,60820,60821,60858,60869,60874,60919,61010,61011,61012,61017,61018,61059","11632,11633,11634,12441,12442,12443,12444"
714,volcanologue,"Géologue spécialisé dans l'étude des volcans en activité, éteints ou sous-marins, le volcanologue passe généralement plus de temps en laboratoire que sur le terrain. Son travail permet de comprendre l'origine et l'évolution de la Terre."," <h1> volcanologue </h1> <h2> Nature du travail </h2> <h3> Observer à distance </h3>  <p> De retour dans son laboratoire, il étudie l'ensemble des données et suit, grâce aux appareils qu'il a installés sur place, les moindres mouvements du volcan. Selon l'objet de son étude, il peut procéder à des expériences ou modéliser une éruption, par exemple. Son travail pourra aider à comprendre l'origine ou l'évolution de la Terre, à préconiser le type de surveillance à installer sur une zone à risques, ou encore à anticiper des éruptions. </p>  <h3> Plusieurs types de volcans </h3>  <p> Le volcanologue est avant tout un chercheur en géologie qui, contrairement à ce que l'on pourrait croire, passe assez peu de temps au bord des cratères en fusion. Selon les cas, il étudie également les volcans éteints, les volcans sous-marins, les zones de risques éruptifs, etc. Le volcanologue de terrain prélève des morceaux de roche ou de lave, effectue des mesures, prend des photos ou filme des phénomènes géothermiques, installe des appareils de surveillance... </p>  <h3> Pluridisciplinaire </h3>  <p> Comme tout chercheur, il publie les résultats de ses recherches dans des revues scientifiques ou les présente lors de colloques internationaux. À la fois spécialisé et pluridisciplinaire, le métier touche à la physique, à la dynamique des fluides, à la géothermie, à la chimie... </p>  <h2> Compétences requises </h2> <h3> Un passionné méthodique </h3>  <p> Le métier de volcanologue nécessite passion et ténacité ! Le nombre d'années d'études (de 5 à 10 ans) et le peu de débouchés en sont la preuve. En plus d'une grande motivation, ce scientifique de haut niveau doit posséder un large spectre de connaissances en physique, géochimie, thermodynamique, dynamique des fluides... Il doit aussi être capable d'une grande rigueur et de patience. </p>  <h3> Un scientifique communiquant </h3>  <p> Comme tout chercheur, il doit être curieux et savoir travailler en équipe pluridisciplinaire et parfois multiculturelle. Adaptable, mobile géographiquement, il doit maîtriser l'anglais et manifester des aptitudes rédactionnelles pour les communications scientifiques et les rapports qu'il devra rédiger. </p> ",2200,18,,"728,824,959,1160,1211,1212,1230,1253,1903,2157,2257,2556,2932,3405,3458,4480,4954,5001,5122,5602,9194,13788,17526,34537,59711,59738,59739,60776,60865,60869,60879,60886,60889,60891,60892,60895,60917,60963,60971","11009,11018,11019,11020,12438,10999,12439,10268,11005,12440,10271"
713,vitrailliste,"Chartres, La Sainte-Chapelle de Paris... Du roman au gothique, l'art du vitrail a connu son âge d'or. Aujourd'hui, le vitrailliste partage son temps entre restauration et création. Il est à la fois artiste et technicien du verre."," <h1> vitrailliste </h1> <h2> Nature du travail </h2> <h3> Créer de nouvelles pièces </h3>  <p> L'artisan peut également travailler à la création de nouveaux vitraux. Il dialogue alors avec son commanditaire, organisme privé ou public, des matières et des formes du verre. Puis il propose des projets qu'il réalisera ensuite. </p>  <h3> Restaurer des monuments </h3>  <p> Pour rénover les vitraux, notamment ceux des édifices religieux, le vitrailliste déloge le verre de son cadre afin de le nettoyer ou de le remplacer s'il est endommagé. </p>  <h3> Un métier d'art </h3>  <p> Le vitrailliste dessine d'abord des maquettes qui lui serviront de modèles pour découper le verre. Il travaille ensuite la matière, la peint si nécessaire, créant ainsi une sorte de puzzle de grande dimension qui formera une image translucide et colorée. Pour finir, il assemble les morceaux de ce « patchwork » avec des baguettes de plomb : cette dernière étape est appelée sertissage. </p>  <h2> Compétences requises </h2> <h3> Précision et savoir-faire </h3>  <p> Le travail d'un vitrailliste est minutieux et précis. Il nécessite un sens de l'esthétique très développé, mais aussi de l'habileté et de la patience dans la manipulation des outils. </p>  <h3> Pédagogie </h3>  <p> Qu'il forme un apprenti pour transmettre son savoir et son savoir-faire, ou qu'il donne des cours à des particuliers, le vitrailliste doit posséder un sens aigu du relationnel et de la pédagogie. </p>  <h3> Maîtrise de l'histoire des arts </h3>  <p> La rénovation des monuments religieux et de leurs rosaces représente une large part des commandes aux vitraillistes. Aussi, des connaissances approfondies en histoire des arts, et notamment en religion et représentations bibliques, tant sur les formes que sur les couleurs employées, constituent un atout indéniable pour décrocher des contrats. </p> ",1705,15,,"631,749,771,1011,1023,3301,4196,5667,8712,59722,59750,59751,60731,60755,60775,60781,60812,60813,60822,60836,60869,60887,60888,61005","12436,12437"
712,viticulteur / viticultrice,"Pour cultiver la vigne, récolter le raisin, « fabriquer » puis vendre le vin, le viticulteur doit travailler dur et apprendre en permanence. Dans un pays réputé pour ses grands crus, les amateurs n'ont pas leur place."," <h1> viticulteur / viticultrice </h1> <h2> Nature du travail </h2> <h3> Maîtrise des étapes viticoles </h3>  <p> Selon qu'il travaille seul ou emploie des salariés, le viticulteur réalise tout ou partie des opérations suivantes : culture de la vigne, récolte du raisin, fabrication du vin, conditionnement et vente. </p>  <h3> Négoce en vins </h3>  <p> Le viticulteur peut aussi se faire négociant. Pour cela, il doit connaître les goûts des clients, les méthodes de publicité et les réseaux de distribution. Dans le cadre d'une coopérative, il doit travailler en accord avec d'autres exploitants. </p>  <h3> Entretien des vignes </h3>  <p> Les vendanges terminées, le vigneron prépare la vigne pour l'hiver. Au printemps, il taille de nouveau, cep par cep, redresse les piquets, retend les fils et lie les sarments aux fils. Il ébourgeonne, coupe les mauvaises pousses et feuilles. Quand le raisin est encore vert, il procède au palissage qui discipline et redresse la pousse. </p>  <h3> Fabrication du vin </h3>  <p> Après la récolte, il presse le raisin. Il transforme le jus obtenu en alcool (c'est la vinification), par fermentation et distillation. Il peut réaliser des mélanges entre les cépages, voire entre les millésimes (c'est l'assemblage) pour obtenir le vin souhaité. Ensuite, il le stocke dans des fûts ou des cuves et le met, plus tard, en bouteilles. Le vin est régulièrement goûté et analysé. </p>  <h2> Compétences requises </h2> <h3> Observateur et rigoureux </h3>  <p> Le sens de l'observation du viticulteur lui permet de détecter une plante malade ou la mauvaise qualité d'un sol. Rigoureux et organisé, il doit suivre les innovations et connaître la réglementation en vigueur. Gestionnaire, il possède de solides notions de comptabilité. </p>  <h3> Goût pour la recherche </h3>  <p> Un bon viticulteur maîtrise le processus de vinification : les matières premières et la fermentation n'ont pas de secrets pour lui. C'est également un créateur de vins, qui allie sa connaissance des sols et du climat à un goût affirmé pour la recherche... et les nouvelles tendances de consommation. </p>  <h3> Des qualités de communicant </h3>  <p> Enfin, sa capacité à communiquer est primordiale au moment de négocier avec les clients. Maîtriser une langue étrangère constitue alors un plus. Les contraintes environnementales et de qualité rendent le métier de plus en plus technique et scientifique. </p>  <h3> Polyvalence avant tout </h3>  <p> De la production à la vente, la variété des tâches oblige l'exploitant viticole à une certaine polyvalence et à une certaine robustesse physique. </p> ",1466,15,,"925,1527,1630,2915,2932,4196,5954,6251,6405,13788,34537,59711,59738,59739,60747,60748,60895","10512,10513,10146,10148,10262"
711,visiteur médical / visiteuse médicale,"Représentant de l'industrie pharmaceutique, le visiteur médical fait le lien avec les professionnels de santé amenés à prescrire des médicaments. Sa mission : informer ces derniers sur les produits dont il assure la promotion."," <h1> visiteur médical / visiteuse médicale </h1> <h2> Nature du travail </h2> <h3> Des connaissances à jour </h3>  <p> Pour suivre l'actualité de ses produits, il s'appuie sur les plaquettes de communication de son laboratoire et participe à des séminaires de formation. Son information est établie dans un cadre strict, dans l'intérêt des patients. Il s'adapte aussi à la politique commerciale de son labo en se rendant à des réunions de secteurs animées par les responsables régionaux. </p>  <h3> Un commercial qui ne vend pas </h3>  <p> En première ligne face aux professionnels de santé, le visiteur médical assure la promotion d'un ou de plusieurs produits pour le laboratoire pharmaceutique dont il dépend. Mais, attention ! S'il cherche à convaincre son interlocuteur de prescrire sa dernière innovation plutôt qu'une autre, il n'a pourtant rien à vendre. Une charte lui interdit même de donner des échantillons aux praticiens. Par ailleurs, un changement en profondeur de la profession est à l'étude, prônant une intervention non plus individuelle des visiteurs mais collective au sein des hôpitaux. </p>  <h3> Une information de qualité </h3>  <p> Il doit être capable de répondre aux questions de ses divers interlocuteurs sur la tolérance, l'efficacité, la posologie de ses produits... Les informer sur de nouvelles études ou indications. S'il n'est pas un auxiliaire paramédical, son activité s'inscrit dans le Code de la santé. Après sa visite, il rédige un compte rendu qu'il transmet à son directeur régional. En relayant les observations du corps médical sur d'éventuels effets secondaires, il favorise le dialogue entre le corps médical et l'industrie pharmaceutique. </p>  <h2> Compétences requises </h2> <h3> Commercial et persuasif </h3>  <p> La concurrence est vive entre les laboratoires pharmaceutiques : des millions sont en jeu. Les meilleurs atouts du visiteur médical restent son aptitude à argumenter et ses qualités relationnelles. Sans pour autant passer en force ou inciter outre mesure. Tenace, dynamique, il sait prendre des initiatives et faire preuve de rigueur et de méthode dans ses présentations aux médecins. Une bonne résistance physique et nerveuse s'impose. </p>  <h3> Du goût pour les sciences </h3>  <p> Les médicaments ne sont pas tout à fait des produits comme les autres. Son intérêt pour les produits à caractère scientifique et médical doit rester constamment en éveil. Ce qui implique de se former tout au long de sa vie professionnelle pour rester crédible auprès des professionnels de santé. La fameuse AMM (autorisation de mise sur le marché), il connaît bien... </p> ",1800,17,,"1212,1527,2257,2580,3379,4954,5126,5814,9194,38151,59724,59730,59758,60750,60771,60776,60790,60796,60798,60824,60865,60869,60874,60879,60895,60913,60914,60954,60971,60975,61000,61003,61030","12432,12433,12434,12435,12431"
710,vétérinaire,"Les vétos ? En ville, leurs patients sont des chiens, des chats, des rongeurs... À la campagne, ce sont les animaux de la ferme. Dans les deux cas, les vétérinaires conseillent les propriétaires des animaux de compagnie ou les éleveurs. Sans oublier les vétérinaires qui travaillent dans l'agroalimentaire, la recherche..."," <h1> vétérinaire </h1> <h2> Nature du travail </h2> <h3> Participer à la recherche </h3>  <p> Dans l'industrie, les vétérinaires participent à la mise au point, à la production et à la commercialisation de médicaments et d'aliments pour animaux, de produits agroalimentaires. D'autres s'orientent vers la recherche ou les laboratoires d'analyses. Les inspecteurs de la santé publique vétérinaires, fonctionnaires du ministère de l'Agriculture, veillent sur la santé animale et la qualité de l'alimentation. </p>  <h3> Soigner les animaux de compagnie </h3>  <p> Le vétérinaire dit « canin » soigne, opère et stérilise surtout les chiens et les chats. Il s'occupe aussi de rongeurs, de reptiles et d'oiseaux. Il exerce le plus souvent en cabinet ou en clinique, parfois dans un zoo. </p>  <h3> Assurer un suivi tout au long de la vie </h3>  <p> Le vétérinaire en milieu rural est présent depuis l'insémination artificielle d'une vache, par exemple, jusqu'au contrôle de son lait, de la naissance du veau... et de son départ pour l'abattoir. Il peut également participer au contrôle de l'hygiène dans les industries agroalimentaires. </p>  <h3> Soigner les animaux de la ferme </h3>  <p> À la campagne, la plupart des interventions concernent les animaux de la ferme. Le vétérinaire rural donne à l'éleveur des conseils techniques et diététiques. Il peut également effectuer des contrôles sanitaires. Dans les petites villes, le vétérinaire exerce souvent à la fois en cabinet et dans les exploitations agricoles. </p>  <h2> Compétences requises </h2> <h3> Très disponible </h3>  <p> Le métier de vétérinaire, notamment en libéral, nécessite une très grande disponibilité. Les professionnels peuvent être soumis à des gardes. Une bonne résistance physique est également importante, surtout lorsqu'il faut immobiliser des animaux aux gabarits impressionnants (taureaux, chevaux...). </p>  <h3> Un bon gestionnaire </h3>  <p> En libéral, le praticien est souvent chef d'entreprise, avec parfois des salariés sous sa responsabilité. Des connaissances en gestion et de la rigueur sont indispensables pour faire vivre son cabinet. </p>  <h3> Un bon contact </h3>  <p> Le vétérinaire sait aussi conseiller, en particulier pour rassurer les particuliers ou les éleveurs, parfois stressés par la maladie de leur animal ou par les risques d'épidémie menaçant leur bétail. </p>  <h3> Le geste précis </h3>  <p> Le vétérinaire sait observer et analyser le comportement des animaux pour établir le bon diagnostic. Il fait preuve d'une grande habileté lors des interventions chirurgicales. La profession exige, bien sûr, une aisance particulière avec les animaux. </p> ",2000,27,,"712,1212,1527,2257,2311,2580,2911,2920,3379,4522,5602,5814,7373,10141,38151,59724,59726,59730,59745,60750,60776,60790,60793,60796,60798,60869,60886,60892,60897,60913,60914,60954,60956,60971,60975,60990,61003","12420,12421,12422,12423,11431,12424,12425,12426,12427,12428,12429,12430,10171"
709,verrier / verrière au chalumeau,"Le verrier au chalumeau transforme le verre pour produire différents objets, comme du matériel pour les laboratoires de physique et de chimie, ou des enseignes lumineuses. On le rencontre surtout dans la verrerie technique."," <h1> verrier / verrière au chalumeau </h1> <h2> Nature du travail </h2> <h3> Un même métier, des activités différentes </h3>  <p> Le métier ne se réduit pas à la simple transformation du verre. En effet, un verrier au chalumeau qui travaille dans une entreprise d'enseignes lumineuses ou de verrerie de laboratoire n'aura pas les mêmes activités que celui qui travaille dans la verrerie décorative. Par exemple, la fabrication d'une enseigne lumineuse demande, en plus du façonnage du verre, la réalisation de l'équipement électrique des néons et l'installation chez le client. Pour les laboratoires, le verrier est amené à fabriquer des ballons à distiller et des éprouvettes, et il doit respecter des mesures très précises pour que ces objets répondent aux critères attendus par les physiciens ou les chimistes. </p>  <h3> Chauffer pour créer </h3>  <p> Pour réaliser une éprouvette, une enseigne lumineuse ou des objets décoratifs, le verrier au chalumeau travaille toujours à partir de tubes ou de baguettes en verre de différents diamètres, qu'il fait chauffer à la flamme de son chalumeau en les tournant d'un geste régulier. Ainsi, ils deviennent malléables et le verrier peut alors créer des formes, pleines ou creuses. L'opération est délicate et, pour que le verre prenne la forme voulue, il faut envoyer un souffle d'air par un tube en caoutchouc (la soufflette), qui le fait se dilater et gonfler. </p>  <h2> Compétences requises </h2> <h3> Des connaissances techniques et un sens artistique </h3>  <p> Du point de vue technique, il faut connaître les différents types de verres (coût, propriétés physiques, difficultés de manipulation), les matériaux, et posséder quelques bases de chimie. Dans la verrerie décorative et les enseignes lumineuses, une bonne appréciation des couleurs et des volumes est indispensable. Un goût prononcé pour le dessin d'art est aussi souhaitable. </p>  <h3> Inventivité et créativité </h3>  <p> Un verrier au chalumeau devenu expert dans son domaine doit savoir faire preuve d'inventivité pour répondre aux commandes faites par ses clients. Par exemple, en verrerie de laboratoire, à partir d'une demande spécifique, il réalise un croquis et élabore la pièce dont les scientifiques ont besoin pour réaliser leurs expériences. </p>  <h3> Habileté manuelle et rigueur </h3>  <p> Chaque étape du travail demande une grande habileté manuelle, de la rigueur et de la méthode. Le débutant doit être capable de lire un plan et de suivre précisément les cotes qui y figurent pour respecter les dimensions de l'objet. Adresse et savoir-faire sont indispensables : le moindre faux mouvement peut endommager la pièce réalisée et la rendre inutilisable. De plus, une personne maladroite risquerait de se brûler ou de se couper. </p> ",1466,15,,"631,771,1023,1211,2520,5667,8712,59750,59751,59764,60775,60781,60869,60887,60888,60971","12274,12419,12418"
708,vendeur-conseil / vendeuse-conseil en matériel agricole,"Le vendeur en agroéquipement travaille dans un point de vente ou se déplace lui-même chez le client. Vendre une moissonneuse-batteuse ou un tracteur demande de la patience et un bagage technique certain. Mais, quand on a le bon profil, l'emploi est au rendez-vous."," <h1> vendeur-conseil / vendeuse-conseil en matériel agricole </h1> <h2> Nature du travail </h2> <h3> Prospecter et fidéliser </h3>  <p> Il peut procéder au rachat d'anciens matériels et proposer des plans de financement. Il assure la mise en service et l'après-vente. Il prospecte de nouveaux clients, tente de fidéliser les autres. Dans les salons et les foires, il présente son entreprise, ses produits et ses services. </p>  <h3> Vendeur expert </h3>  <p> Tracteurs, moissonneuses, épandeuses, équipements pour l'irrigation ou l'élevage... tels sont les produits dont le vendeur-conseil en matériel agricole assure la vente, qu'ils soient neufs ou d'occasion. Véritable expert, il doit connaître les caractéristiques techniques des matériels, les attentes des clients, leurs préoccupations et leurs besoins, mais également les techniques de culture et d'élevage les plus récentes. </p>  <h3> Informer et négocier </h3>  <p> Il rencontre les clients (éleveurs, exploitants agricoles, paysagistes...), les écoute, les informe et les conseille sur le matériel qui répond au mieux à leurs besoins. Il fait des démonstrations et propose de faire des essais. Puis il négocie les prix et les conditions de vente. Son but : réaliser les objectifs de l'entreprise (volume de vente, marges de bénéfices...). </p>  <h2> Compétences requises </h2> <h3> Initiative et autonomie </h3>  <p> La profession demande une grande disponibilité. Les ventes sont souvent saisonnières, il ne faut pas les manquer. On assigne bien sûr aux vendeurs des objectifs commerciaux mais, à l'intérieur de ce cadre, ils disposent d'une relative autonomie. </p>  <h3> Un bon bagage technique </h3>  <p> Les matériels et équipements faisant de plus en plus appel à l'électronique, aux automatismes... il est indispensable de posséder un excellent bagage technique pour les vendre. De même, le vendeur-conseil en matériel agricole doit se tenir au courant de l'actualité de l'agriculture. </p>  <h3> Des qualités d'écoute </h3>  <p> Comme tout vendeur, il doit posséder des qualités d'écoute, de communication et avoir un bon contact humain. Il faut aussi connaître les comportements d'achat des clients. Les agriculteurs ne prennent pas leur décision à la légère lorsqu'il s'agit d'acheter une machine de plus de 100 000 euros. Il faut savoir se montrer patient et psychologue. </p> ",2200,16,,"559,615,888,925,1137,1377,1908,1996,2580,2932,3405,9194,34537,38151,59711,59730,60720,60721,60745,60750,60769,60805,60846,60865,60869,60879,60889,60893,60895,60897,60907,61003,61013,61022,61047","12416,12417,10395,11732,11731"
