Metier,code ROME
accessoiriste,L1503
accompagnateur / accompagnatrice de voyages,G1201
acheteur / acheteuse,M1101
acheteur / acheteuse d'espaces publicitaires,E1402
actuaire,C1105
adjoint administratif / adjointe administrative,M1607
administrateur / administratrice de base de données,M1801
administrateur / administratrice de biens,C1501
administrateur / administratrice de logiciels de laboratoire,M1805
administrateur / administratrice de mission humanitaire,N1301
administrateur / administratrice de spectacle,L1302
administrateur / administratrice judiciaire,K1901
administrateur / administratrice réseaux,M1801
aérodynamicien / aérodynamicienne en aéronautique,H1206
affûteur / affûteuse,H2903
agenceur / agenceuse de cuisines et salles de bains,H2206
agent / agente artistique,L1303
agent / agente de développement des énergies renouvelables,M1402
agent / agente de développement local,K1802
agent / agente de développement touristique,G1102
agent / agente de propreté et d'hygiène,K2204
agent / agente de propreté urbaine,K2303
agent / agente de sécurité,K2503
agent / agente de sûreté ferroviaire,N4401
agent / agente de transit,N1202
agent / agente des méthodes,N4401
agent général / agente générale d'assurances,C1102
agent hydrothermal / agente hydrothermale,D1203
agent immobilier / agente immobilière,C1504
agriculteur / agricultrice,A1416
agronome,A1303
aide médico-psychologique,K1301
aide-soignant / aide-soignante,J1501
ajusteur-monteur / ajusteuse-monteuse,H2901
ambulancier / ambulancière,J1305
analyste de crédit,C1202
analyste financier / financière,M1201
anatomiste,K2402
anesthésiste-réanimateur / anesthésiste-réanimatrice,J1102
animalier / animalière de laboratoire,A1408
animateur / animatrice 2D et 3D,E1205
animateur / animatrice d'activités physiques et sportives pour tous,G1204
animateur / animatrice de bassin versant,A1303
animateur / animatrice de radio et de télévision,L1103
animateur / animatrice du patrimoine,G1102
animateur nature / animatrice nature,G1202
animateur socioculturel / animatrice socioculturelle,K1206
antiquaire,D1201
apiculteur / apicultrice,A1408
aquaculteur / aquacultrice,A1404
arboriculteur / arboricultrice,A1405
archéologue,K2401
architecte,F1101
architecte d'intérieur,F1102
architecte des systèmes d'information,M1802
architecte naval / navale,H1203
architecte produit industriel,H1206
architecte réseaux,M1802
architecte web,E1105
archiviste,K1601
artiste de cirque,L1204
ascensoriste,I1301
assistant / assistante de gestion en PME,M1302
assistant / assistante de service social,K1201
assistant / assistante dentaire,J1303
assistant / assistante en ressources humaines,M1501
assistant commercial / assistante commerciale,D1401
assistant maternel / assistante maternelle,K1303
assistant réalisateur / assistante réalisatrice,L1304
astrophysicien / astrophysicienne,K2402
attaché / attachée d'administration,M1607
attaché / attachée de presse,E1103
attaché / attachée de recherche clinique (ARC),H1206
attaché commercial / attachée commerciale,D1401
attaché territorial / attachée territoriale,K1404
audioprothésiste,J1303
auditeur / auditrice externe,M1202
auditeur / auditrice interne,M1202
auditeur / auditrice qualité,M1402
auteur-compositeur interprète / auteure-compositrice interprète,L1202
auxiliaire de puériculture,J1304
auxiliaire de vie sociale,K1302
auxiliaire spécialisé / spécialisée vétérinaire,A1501
avocat / avocate,K1903
bactériologiste,K2402
barman / barmaid,G1801
batelier / batelière,N3103
bibliothécaire,K1601
bijoutier-joaillier / bijoutière-joaillière,B1603
bio-informaticien / bio-informaticienne,H1206
biologiste en environnement,K2402
biologiste médical / médicale,J1201
