"Metier","J.aime.faire.des.experiences","J.aime.organiser..gerer","Je.suis.branche.high.tech","Enqueter..analyser.l.information..je.veux.en.faire.mon.travail","J.ai.le.sens.du.contact","J.aimerais.informer..communiquer","J.aime.bouger","J.aime.la.nature","Je.reve.d.un.metier.artistique","J.ai.la.bosse.du.commerce","J.aime.jongler.avec.les.chiffres","Je.veux.etre.aux.commandes","Je.veux.proteger.la.planete","Je.veux.travailler.de.mes.mains","Reparer..bricoler..j.adore.ca","J.aimerais.travailler.dehors","J.aime.les.sensations.fortes","Je.veux.etre.utile.aux.autres","Je.veux.faire.respecter.la.loi","Je.veux.m.occuper.d.animaux","Ma.vocation.est.de.soigner","Je.reve.de.travailler.a.l.etranger","Je.suis.fort.en.langues","J.aime.le.contact.avec.les.enfants","Le.sport.est.ma.passion","Chimie...Plasturgie...Industrie.pharmaceutique","Environnement","Fonction.publique","Commerce...Distribution","Communication...Publicite","Agriculture","Audit...Conseil...Ressources.humaines","Banque...Assurances....Immobilier","Architecture...BTP","Presse...Edition...imprimerie","Automobile","Construction.navale..ferroviaire.et.aeronautique","Electronique...Electrotechnique","Maintenance...Entretien","Telecommunications","Transport...Logistique","Mecanique...Metallurgie","Recherche","Culture...Patrimoine...Artisanat.d.art","Sport...Loisirs...Tourisme","Armee...Securite","Arts.du.spectacle...Audiovisuel","Sante...Social...Bien.etre","Agro.alimentaire","Energies.et.extraction","Enseignement...Formations","Hotellerie...Restauration","Informatique","Droit...Justice","Mode.et.industrie.textile","Bois...Meubles...Papier...Carton","Verre...Beton...Ceramique","bac...5","CAP.ou.equivalent","bac...3","bac...2","bac.ou.equivalent","bac...8","bac...4","sans.diplome","diplome.national.du.brevet","bac...6","bac...9.et.plus","X3e","bac...7","Statut.salarie","Statut.artisan","Statut.fonctionnaire","Liberal","Independant","Militaire","Intermittent.du.spectacle","Saisonnier","Contrat.de.volontariat","Salaire.debutant","diplome","diplome_num","X1","X2","km_cluster","cut_ward","cut_complete","jobs_id","ap_clusters","Y1","Y2"
"administrateur / administratrice judiciaire",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2900,"bac...5",9,-0.125417852721846,-26.6087823322647,16,9,4,12,1,12.8172773048282,13.5971193239093
"agent / agente de sécurité",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,-8.85131110294347,-34.3660212093461,36,17,11,23,1,13.3133352007717,11.8125885780901
"avocat / avocate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2800,"bac...6",10,-1.641597902488,-30.0593649680308,36,17,11,84,1,12.9463447220623,7.71188765391707
"formateur / formatrice d'adultes",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1675,"bac...3",7,-7.82327070380302,-23.8497621434364,16,19,11,209,1,10.275028090924,6.7264828402549
"formateur / formatrice en informatique",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1675,"bac...3",7,-7.81058533771442,-23.8492443242649,16,19,11,210,1,13.1930547263473,11.1516244150698
"gardien / gardienne de police municipale",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2050,"CAP.ou.equivalent",3,-10.7703762234,-38.7580893881615,10,37,31,214,1,9.4432260915637,6.65178256481886
"gendarme",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1705,"bac.ou.equivalent",4,-11.127838547185,-41.9650855459513,10,37,31,216,1,11.3581459634006,9.1329185385257
"greffier / greffière",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1700,"bac...2",6,-17.7192479432112,-34.065975515581,36,17,11,239,1,13.4831567443907,13.355449385941
"huissier / huissière de justice",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2500,"bac...5",9,-0.608944688739587,-30.3269450949426,36,17,11,248,1,7.25079168006778,8.09230271168053
"juge d'instance",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1662,"bac...4",8,-19.6151976564426,-38.7616933419962,30,40,36,342,1,13.2014278694987,11.1708407718688
