,intitule,code_rome,score,X1,X2,cluster,Métier_onisep_1,Métier_onisep_2,Métier_onisep_3,Métier_onisep_4,Métier_onisep_5,Métier_onisep_6,Métier_onisep_7,Métier_onisep_8,Métier_onisep_9,Métier_onisep_10,Métier_onisep_11,Métier_onisep_12,Métier_onisep_13,Métier_onisep_14,Métier_onisep_15,Métier_onisep_16,Métier_onisep_17,Métier_onisep_18,Métier_onisep_19,Métier_onisep_20,Métier_onisep_21,Métier_onisep_22,Métier_onisep_23,Métier_onisep_24,Métier_onisep_25,Métier_onisep_26,Métier_onisep_27,Métier_onisep_28,Métier_onisep_29,Métier_onisep_30,Métier_onisep_31,Métier_onisep_32,Métier_onisep_33,Métier_onisep_34,Métier_onisep_35,Métier_onisep_36,Métier_onisep_37,Métier_onisep_38,Métier_onisep_39,Métier_onisep_40,Métier_onisep_41,Métier_onisep_42,Métier_onisep_43,Métier_onisep_44,Métier_onisep_45,Métier_onisep_46,Métier_onisep_47,Métier_onisep_48
130,Préparation et correction en édition et presse,E1305,15.8363936665607,72.68887364953841,6.36325746589465,40,correcteur / correctrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Journalisme et information média,E1106,10.1263882092756,72.7417574282457,6.9105337375370395,40,rédacteur / rédactrice en chef,journaliste,journaliste reporter / reportrice d'images,reporter-photographe / reportrice-photographe,secrétaire de rédaction,rédacteur / rédactrice on line,critique d'art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Traduction, interprétariat",E1108,8.984387117818619,72.8520434887611,7.9800442368683395,40,traducteur-interprète / traductrice-interprète,traducteur / traductrice technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Gestion de l'information et de la documentation,K1601,6.70038493490459,71.25272270998529,-2.3331291889090697,38,archiviste,bibliothécaire,documentaliste,professeur-documentaliste / professeure-documentaliste,iconographe,veilleur / veilleuse stratégique,chargé / chargée de référencement web,chargé / chargée de veille législative et réglementaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Ecriture d'ouvrages, de livres",E1102,3.8453822062620495,66.93357689994271,-0.693905471583755,38,scénariste,écrivain / écrivaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Communication,E1103,3.2743816605335403,70.1665622126766,-2.9101793125303104,38,attaché / attachée de presse,chargé / chargée de communication interne,chargé / chargée des relations publiques,rédacteur / rédactrice on line,chargé / chargée de projet événementiel,médiateur / médiatrice scientifique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Animation de site multimédia,E1101,0.9903794776195041,21.250286336556698,5.05165741809767,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Coordination d'édition,E1105,0.9903794776195041,70.1496678238223,-3.89613681026325,38,éditeur / éditrice,secrétaire d'édition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Mesures topographiques,F1107,0.9903794776195041,1.26984366411552,-7.049012079602701,46,géomètre-topographe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Conseil en Santé Publique,K1402,0.9903794776195041,25.5814895168011,-2.12303523374945,59,chargé / chargée de veille législative et réglementaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
