,intitule,rome,score,X1,X2,cluster
91,Vente en articles de sport et loisirs,D1211,22.551669100657392,3.89180712077794,43.6795520999623,30
82,Coiffure,D1202,14.062257155205096,-34.1610807418396,65.7827801064788,31
92,Vente en décoration et équipement du foyer,D1212,13.601995572204789,2.8904363509737303,43.070432930170604,30
39,Réalisation d'objets artistiques et fonctionnels en verre,B1602,13.203651568043059,-51.35392164395721,-52.5997952521405,11
9,Aide agricole de production fruitière ou viticole,A1401,11.205175413207996,37.963917684563,-51.63009365581701,1
83,Hydrothérapie,D1203,10.257403974502767,-42.7591776087682,25.4684860008707,32
64,Gestion de clientèle bancaire,C1206,9.708665465039434,60.913502083397894,47.54828809822661,23
0,Conduite d'engins agricoles et forestiers,A1101,8.483727573825394,41.871318566727204,-52.84579570735729,1
7,Contrôle et diagnostic technique en agriculture,A1302,8.431839531285762,48.9066434332459,-44.124851313944,2
37,Fabrication et réparation d'instruments de musique,B1501,7.50964354240754,-54.102586064048005,-52.2296821186158,11
70,Gérance immobilière,C1501,7.164688085931731,44.9166018393005,15.215924083865,26
15,Élevage bovin ou équin,A1407,6.137351005069636,61.175519968284505,-44.3554049124539,6
11,Aide d'élevage agricole et aquacole,A1403,5.518450339663587,47.854505998211,-45.227972854246104,2
85,Nettoyage d'articles textiles ou cuirs,D1205,4.634290123686365,-27.377168627287197,-22.2822016364168,33
98,Relation commerciale auprès de particuliers,D1403,4.248094624883784,32.960587507083396,25.210996466487103,34
10,Aide agricole de production légumière ou végétale,A1402,4.148717832483424,37.4750337745696,-51.4113475978049,1
13,Arboriculture et viticulture,A1405,4.102225322271915,42.0202065539633,-51.2888581321516,1
3,Entretien des espaces verts,A1203,3.9766075197974686,43.4141934874782,-49.9754299984325,2
69,Gestion en banque et assurance,C1401,3.949830368080755,78.1239633476343,-4.21475170608564,25
2,Entretien des espaces naturels,A1202,3.33949221389565,42.4941616178861,-53.6656408814262,1
31,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse,B1201,2.978865002789883,-49.206815585275294,-49.5971899981554,11
68,Gestion de portefeuilles sur les marchés financiers,C1303,2.340464641896594,65.6186253903916,42.4039664048613,24
81,"Achat vente d'objets d'art, anciens ou d'occasion",D1201,2.0125112944809542,2.7634282283408,41.1190483520871,30
32,Décoration d'espaces de vente et d'exposition,B1301,1.1501512347499507,-62.0096108735755,-33.0066041682197,12
34,Gravure - ciselure,B1303,1.0868580077708978,-52.216368266238206,-54.4781693360318,11
14,Encadrement équipage de la pêche,A1406,0.983670452626704,-26.6710767047651,13.6611769331526,5
50,Conseil clientèle en assurances,C1102,0.890831982936915,47.348837503919604,30.0216653848515,18
71,Gestion locative immobilière,C1502,0.8699325183412591,7.44743073955827,12.014171856675,27
30,Création en arts plastiques,B1101,0.7858738615308817,-49.29053053096929,-40.517617340306394,10
54,Expertise risques en assurances,C1106,0.6549905390800966,29.0942696909378,-9.5911144997844,3
86,Réparation d'articles en cuir et matériaux souples,D1206,0.5287106801876652,-42.64313293085279,-62.9892221109699,15
16,Élevage d'animaux sauvages ou de compagnie,A1408,0.5114414203470833,58.7652602475749,-45.5448003655414,6
84,Location de véhicules ou de matériel de loisirs,D1204,0.39997234481776045,-2.51319683653867,39.1853433141688,22
44,Réalisation d'articles en cuir et matériaux souples (hors vêtement),B1802,0.07393998583141051,-46.3702332438158,-62.2210745829496,14
1,Bûcheronnage et élagage,A1201,-0.1887579215048255,40.4374915563124,-54.051242008320706,1
27,Podologie animale,A1502,-0.2805248577753636,56.8337725090956,-41.910147420156704,9
58,Souscription d'assurances,C1110,-0.4991088572136792,48.0179613279041,28.2108686833358,18
75,Boulangerie - viennoiserie,D1102,-0.51069813022382,18.1654152402725,76.7886201903497,7
60,Analyse de crédits et risques bancaires,C1202,-0.564289718481487,47.8021017253228,37.44957829136621,20
29,Santé animale,A1504,-0.5759925762894013,56.4915492179322,-41.0948815196916,9
4,Protection du patrimoine naturel,A1204,-0.6530400190028811,32.807681910136104,-10.085896347492401,3
45,Réalisation de vêtements sur mesure ou en petite série,B1803,-0.719920093963254,-43.4886589069511,-65.0222934019343,15
94,Vente en habillement et accessoires de la personne,D1214,-0.7568220821574981,1.26937406157604,43.587819560917,30
93,Vente en gros de matériel et équipement,D1213,-0.8757082653345746,10.740273196406699,39.8932208242589,29
72,Management de projet immobilier,C1503,-1.3832852942660359,43.2825531886944,21.1000002379784,26
88,Soins esthétiques et corporels,D1208,-1.5073081995963837,-42.833145207298706,26.0499370491918,32
6,Conseil et assistance technique en agriculture,A1301,-1.545326976566889,50.0758743364713,-19.1134508305486,4
61,Relation clients banque/finance,C1203,-1.59177278174404,59.96231291976579,46.064153645099495,23
79,Vente en alimentation,D1106,-1.608952908918495,16.33235273925,73.55765167384679,28
49,Conception - développement produits d'assurances,C1101,-1.624063068828726,64.366691440648,27.8767352988963,17
38,Métallerie d'art,B1601,-1.635483564350053,-53.8455872421124,-53.275077323785105,11
74,Boucherie,D1101,-1.6459304127808494,19.760771014803897,77.1880589687616,7
62,Conception et expertise produits bancaires et financiers,C1204,-1.6541521962138384,63.664692881945,27.7541580930551,17
23,Equipage de la pêche,A1415,-1.7473071848932913,-26.823472286088702,13.069064508001802,5
73,Transaction immobilière,C1504,-1.7581017916233412,48.632793820305395,26.2654709943707,18
8,Ingénierie en agriculture et environnement naturel,A1303,-1.7602878131574402,50.0656247225393,-19.1026431607886,4
89,Vente de végétaux,D1209,-1.775350861727921,18.7651999359195,62.0966153894744,8
