,code_rome,intitule,metier_onisep_1,metier_onisep_2,metier_onisep_3,metier_onisep_4,metier_onisep_5,metier_onisep_6,metier_onisep_7,metier_onisep_8,metier_onisep_9,metier_onisep_10,metier_onisep_11,metier_onisep_12,metier_onisep_13,metier_onisep_14,metier_onisep_15,metier_onisep_16,metier_onisep_17,metier_onisep_18,metier_onisep_19,metier_onisep_20,metier_onisep_21,metier_onisep_22,metier_onisep_23,metier_onisep_24,metier_onisep_25,metier_onisep_26,metier_onisep_27,metier_onisep_28,metier_onisep_29,metier_onisep_30,metier_onisep_31,metier_onisep_32,metier_onisep_33,metier_onisep_34,metier_onisep_35,metier_onisep_36,metier_onisep_37,metier_onisep_38,metier_onisep_39,metier_onisep_40
0,A1101,Conduite d'engins agricoles et forestiers,conducteur / conductrice de machines agricoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A1201,Bûcheronnage et élagage,technicien forestier / technicienne forestière,élagueur / élagueuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A1202,Entretien des espaces naturels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A1203,Entretien des espaces verts,ouvrier / ouvrière paysagiste,technicien / technicienne paysagiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A1204,Protection du patrimoine naturel,"garde (chasse, pêche, littoral, rivière, parcs nationaux)",chargé / chargée d'études naturalistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A1205,Sylviculture,ouvrier forestier / ouvrière forestière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A1301,Conseil et assistance technique en agriculture,conseiller / conseillère agricole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A1302,Contrôle et diagnostic technique en agriculture,contrôleur / contrôleuse de performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A1303,Ingénierie en agriculture et environnement naturel,ingénieur forestier / ingénieure forestière,paysagiste,agronome,expert /experte bilan carbone,chef de projet biodiversité,chargé / chargée d'études en valorisation agricole des déchets,ingénieur / ingénieure en production et expérimentations végétales,animateur / animatrice de bassin versant,halieute,inséminateur / inséminatrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A1401,Aide agricole de production fruitière ou viticole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A1402,Aide agricole de production légumière ou végétale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A1403,Aide d'élevage agricole et aquacole,palefrenier / palefrenière,ouvrier / ouvrière agricole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A1404,Aquaculture,aquaculteur / aquacultrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A1405,Arboriculture et viticulture,viticulteur / viticultrice,arboriculteur / arboricultrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A1406,Encadrement équipage de la pêche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A1407,Élevage bovin ou équin,éleveur / éleveuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A1408,Élevage d'animaux sauvages ou de compagnie,animalier / animalière de laboratoire,dresseur / dresseuse d'animaux,apiculteur / apicultrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A1409,Élevage de lapins et volailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A1410,Élevage ovin ou caprin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A1411,Élevage porcin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A1412,Fabrication et affinage de fromages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A1413,Fermentation de boissons alcoolisées,oenologue,caviste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A1414,Horticulture et maraîchage,horticulteur / horticultrice,chef de cultures légumières,maraîcher / maraîchère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A1415,Equipage de la pêche,matelot à la pêche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A1416,"Polyculture, élevage",agriculteur / agricultrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A1417,Saliculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A1501,Aide aux soins animaux,soigneur animalier / soigneuse animalière,auxiliaire spécialisé / spécialisée vétérinaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A1502,Podologie animale,maréchal-ferrant / maréchale-ferrante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A1503,Toilettage des animaux,toiletteur / toiletteuse d'animaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A1504,Santé animale,vétérinaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,B1101,Création en arts plastiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,B1201,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse,céramiste,technicien / technicienne céramiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,B1301,Décoration d'espaces de vente et d'exposition,étalagiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,B1302,Décoration d'objets d'art et artisanaux,restaurateur / restauratrice d'oeuvres d'art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,B1303,Gravure - ciselure,orfèvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,B1401,"Réalisation d'objets en lianes, fibres et brins végétaux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,B1402,Reliure et restauration de livres et archives,relieur-doreur / relieuse-doreuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,B1501,Fabrication et réparation d'instruments de musique,facteur/ factrice d'instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,B1601,Métallerie d'art,bronzier / bronzière,ferronnier / ferronnière d'art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,B1602,Réalisation d'objets artistiques et fonctionnels en verre,souffleur / souffleuse de verre,verrier / verrière au chalumeau,vitrailliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",bijoutier-joaillier / bijoutière-joaillière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,B1604,Réparation - montage en systèmes horlogers,horloger / horlogère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,B1701,Conservation et reconstitution d'espèces animales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,B1801,Réalisation d'articles de chapellerie,modiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement),maroquinier / maroquinière,bottier / bottière,sellier / sellière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,B1803,Réalisation de vêtements sur mesure ou en petite série,tailleur-couturier / tailleuse-couturière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,B1804,Réalisation d'ouvrages d'art en fils,brodeur / brodeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,B1805,Stylisme,styliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,B1806,Tapisserie - décoration en ameublement,tapissier / tapissière d'ameublement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,C1101,Conception - développement produits d'assurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,C1102,Conseil clientèle en assurances,agent général / agente générale d'assurances,conseiller / conseillère en assurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,C1103,Courtage en assurances,courtier / courtière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,C1104,Direction d'exploitation en assurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,C1105,Études actuarielles en assurances,actuaire,gestionnaire actif/passif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,C1106,Expertise risques en assurances,expert / experte en assurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,C1107,Indemnisations en assurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,C1108,Management de groupe et de service en assurances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,C1109,Rédaction et gestion en assurances,gestionnaire de contrats d'assurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,C1110,Souscription d'assurances,souscripteur / souscriptrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,C1201,Accueil et services bancaires,guichetier / guichetière,chargé / chargée de clientèle banque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,C1202,Analyse de crédits et risques bancaires,analyste de crédit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,C1203,Relation clients banque/finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,C1204,Conception et expertise produits bancaires et financiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,C1205,Conseil en gestion de patrimoine financier,gestionnaire de patrimoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,C1206,Gestion de clientèle bancaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,C1207,Management en exploitation bancaire,directeur / directrice d'agence bancaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,C1301,Front office marchés financiers,trader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,C1302,Gestion back et middle-office marchés financiers,responsable du back office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
